id,option_id,language_code,name,created_at,updated_at
1,1,en,Color,2023/1/10 00:00,2023/1/10 00:00
2,1,zh_Hant,顏色,2023/1/10 00:00,2023/1/10 00:00
3,2,en,Size,2023/1/10 00:00,2023/1/10 00:00
4,2,zh_Hant,尺寸,2023/1/10 00:00,2023/1/10 00:00
5,3,en,Salutation,2023/1/10 00:00,2023/1/10 00:00
6,3,zh_Hant,稱謂,2023/1/10 00:00,2023/1/10 00:00
7,101,en,Order Status,2022/12/8 00:00,2022/12/8 00:00
8,101,zh_Hant,訂單狀態,2022/12/8 00:00,2022/12/8 00:00
