id,option_value_id,locale,option_id,name,short_name,created_at,updated_at
1001,1001,zh_Hant,1001,新客,新客,2022/12/31 00:00,2022/12/31 00:00
1002,1002,zh_Hant,1001,舊客,舊客,2022/12/31 00:00,2022/12/31 00:00
1003,1003,zh_Hant,1001,發DM,發DM,2022/12/31 00:00,2022/12/31 00:00
1004,1004,zh_Hant,1001,郵寄傳單,郵寄傳單,2022/12/31 00:00,2022/12/31 00:00
1005,1005,zh_Hant,1001,手機簡訊,手機簡訊,2022/12/31 00:00,2022/12/31 00:00
1006,1006,zh_Hant,1001,媒體(電視廣播),媒體(電視廣播),2022/12/31 00:00,2022/12/31 00:00
1007,1007,zh_Hant,1001,朋友介紹,朋友介紹,2022/12/31 00:00,2022/12/31 00:00
1008,1008,zh_Hant,1001,推廣,推廣,2022/12/31 00:00,2022/12/31 00:00
1009,1009,zh_Hant,1001,網路,網路,2022/12/31 00:00,2022/12/31 00:00
1010,1010,zh_Hant,1001,電子報,電子報,2022/12/31 00:00,2022/12/31 00:00
1011,1011,zh_Hant,1001,Line,Line,2022/12/31 00:00,2022/12/31 00:00
1012,1012,zh_Hant,1001,FB,FB,2022/12/31 00:00,2022/12/31 00:00
1013,1013,zh_Hant,1001,其他,其他,2022/12/31 00:00,2022/12/31 00:00
1014,1014,zh_Hant,1002,無,無,2022/12/31 00:00,2022/12/31 00:00
1015,1015,zh_Hant,1002,蛋奶素,蛋奶素,2022/12/31 00:00,2022/12/31 00:00
1016,1016,zh_Hant,1002,全素,全素,2022/12/31 00:00,2022/12/31 00:00
1017,1017,zh_Hant,1003,薯泥潤餅3吋,薯泥,2022/12/31 00:00,2022/12/31 00:00
1018,1018,zh_Hant,1003,炸蝦潤餅3吋,炸蝦,2022/12/31 00:00,2022/12/31 00:00
1019,1019,zh_Hant,1003,炒雞潤餅3吋,炒雞,2022/12/31 00:00,2022/12/31 00:00
1020,1020,zh_Hant,1003,酥魚潤餅3吋,酥魚,2022/12/31 00:00,2022/12/31 00:00
1021,1021,zh_Hant,1003,培根潤餅3吋,培根,2022/12/31 00:00,2022/12/31 00:00
1022,1022,zh_Hant,1003,滷肉潤餅3吋,滷肉,2022/12/31 00:00,2022/12/31 00:00
1023,1023,zh_Hant,1004,微豆,微豆,2022/12/31 00:00,2022/12/31 00:00
1024,1024,zh_Hant,1004,無豆,無豆,2022/12/31 00:00,2022/12/31 00:00
1025,1025,zh_Hant,1004,紅茶,紅茶,2022/12/31 00:00,2022/12/31 00:00
1026,1026,zh_Hant,1004,奶茶,奶茶,2022/12/31 00:00,2022/12/31 00:00
1027,1027,zh_Hant,1004,濃湯,濃湯,2022/12/31 00:00,2022/12/31 00:00
1028,1028,zh_Hant,1004,甜湯,甜湯,2022/12/31 00:00,2022/12/31 00:00
1029,1029,zh_Hant,1005,地瓜薯薯,地瓜,2022/12/31 00:00,2022/12/31 00:00
1030,1030,zh_Hant,1005,手作蛋塔,蛋塔,2022/12/31 00:00,2022/12/31 00:00
1031,1031,zh_Hant,1005,香蔥酥餅,酥餅,2022/12/31 00:00,2022/12/31 00:00
1032,1032,zh_Hant,1005,香滷雞翅,雞翅,2022/12/31 00:00,2022/12/31 00:00
1033,1033,zh_Hant,1005,湯圓,湯圓,2022/12/31 00:00,2022/12/31 00:00
1034,1034,zh_Hant,1005,水果,水果,2022/12/31 00:00,2022/12/31 00:00
1035,1035,zh_Hant,1005,梅汁番茄,番茄,2022/12/31 00:00,2022/12/31 00:00
1036,1036,zh_Hant,1005,鹽水煮蛋,水煮蛋,2022/12/31 00:00,2022/12/31 00:00
1037,1037,zh_Hant,1005,蒜香時蔬,時蔬,2022/12/31 00:00,2022/12/31 00:00
1038,1038,zh_Hant,1005,酸炸菇菇,炸菇,2022/12/31 00:00,2022/12/31 00:00
1039,1039,zh_Hant,1005,香滷豆干,豆干,2022/12/31 00:00,2022/12/31 00:00
1040,1040,zh_Hant,1005,香菇油飯,油飯,2022/12/31 00:00,2022/12/31 00:00
1041,1041,zh_Hant,1006,主餐任搭,主餐任搭,2022/12/31 00:00,2022/12/31 00:00
1042,1042,zh_Hant,1006,飲料任搭,飲料任搭,2022/12/31 00:00,2022/12/31 00:00
1043,1043,zh_Hant,1006,清蒸嫰雞胸,清蒸嫰雞胸,2022/12/31 00:00,2022/12/31 00:00
1046,1046,zh_Hant,1003,全素潤餅3吋,全潤,2022/12/31 00:00,2022/12/31 00:00
1047,1047,zh_Hant,1003,蛋素潤餅3吋,蛋潤,2022/12/31 00:00,2022/12/31 00:00
1054,1048,zh_Hant,1008,清蒸嫰雞胸,雞胸,2023/3/8 06:47,2023/3/8 06:47
1055,1049,zh_Hant,1008,滷雞腿,雞腿,2023/3/8 06:47,2023/3/8 06:47
1056,1050,zh_Hant,1008,滷牛腱,滷牛,2023/3/8 06:47,2023/3/8 06:47
1057,1051,zh_Hant,1008,梅汁番茄,番茄,2023/3/8 06:47,2023/3/8 06:47
