id,option_id,code,product_id,sort_order,is_active,created_at,updated_at
101,101,,,1,1,2022/12/31 00:00,2022/12/31 00:00
102,101,,,99,0,2022/12/31 00:00,2022/12/31 00:00
103,101,,,3,1,2022/12/31 00:00,2022/12/31 00:00
104,101,,,99,0,2022/12/31 00:00,2022/12/31 00:00
105,101,,,99,0,2022/12/31 00:00,2022/12/31 00:00
106,101,,,99,0,2022/12/31 00:00,2022/12/31 00:00
107,101,,,99,0,2022/12/31 00:00,2022/12/31 00:00
108,101,,,99,0,2022/12/31 00:00,2022/12/31 00:00
109,101,,,99,0,2022/12/31 00:00,2022/12/31 00:00
110,101,,,99,0,2022/12/31 00:00,2022/12/31 00:00
111,101,,,99,0,2022/12/31 00:00,2022/12/31 00:00
112,101,,,99,0,2022/12/31 00:00,2022/12/31 00:00
113,101,,,99,0,2022/12/31 00:00,2022/12/31 00:00
114,101,,,99,0,2022/12/31 00:00,2022/12/31 00:00
115,101,,,6,1,2022/12/31 00:00,2022/12/31 00:00
116,101,,,2,1,2022/12/31 00:00,2022/12/31 00:00
117,101,,,4,1,2022/12/31 00:00,2022/12/31 00:00
118,101,,,5,1,2022/12/31 00:00,2022/12/31 00:00
1001,1001,1,0,1,1,2022/12/31 00:00,2022/12/31 00:00
1002,1001,2,0,2,1,2022/12/31 00:00,2022/12/31 00:00
1003,1001,3,0,3,1,2022/12/31 00:00,2022/12/31 00:00
1004,1001,4,0,4,1,2022/12/31 00:00,2022/12/31 00:00
1005,1001,5,0,5,1,2022/12/31 00:00,2022/12/31 00:00
1006,1001,6,0,6,1,2022/12/31 00:00,2022/12/31 00:00
1007,1001,7,0,7,1,2022/12/31 00:00,2022/12/31 00:00
1008,1001,8,0,8,1,2022/12/31 00:00,2022/12/31 00:00
1009,1001,9,0,9,1,2022/12/31 00:00,2022/12/31 00:00
1010,1001,10,0,10,1,2022/12/31 00:00,2022/12/31 00:00
1011,1001,11,0,11,1,2022/12/31 00:00,2022/12/31 00:00
1012,1001,12,0,12,1,2022/12/31 00:00,2022/12/31 00:00
1013,1001,13,0,13,1,2022/12/31 00:00,2022/12/31 00:00
1014,1002,1,0,1,1,2022/12/31 00:00,2022/12/31 00:00
1015,1002,2,0,2,1,2022/12/31 00:00,2022/12/31 00:00
1016,1002,3,0,3,1,2022/12/31 00:00,2022/12/31 00:00
1017,1003,,1037,3,1,2022/12/31 00:00,2022/12/31 00:00
1018,1003,,1038,4,1,2022/12/31 00:00,2022/12/31 00:00
1019,1003,,1039,5,1,2022/12/31 00:00,2022/12/31 00:00
1020,1003,,1040,6,1,2022/12/31 00:00,2022/12/31 00:00
1021,1003,,1041,7,1,2022/12/31 00:00,2022/12/31 00:00
1022,1003,,1042,8,1,2022/12/31 00:00,2022/12/31 00:00
1023,1004,1,1016,1,1,2022/12/31 00:00,2022/12/31 00:00
1024,1004,2,1017,2,1,2022/12/31 00:00,2022/12/31 00:00
1025,1004,3,1018,3,1,2022/12/31 00:00,2022/12/31 00:00
1026,1004,4,1019,4,1,2022/12/31 00:00,2022/12/31 00:00
1027,1004,5,1020,5,1,2022/12/31 00:00,2022/12/31 00:00
1028,1004,6,1021,6,1,2022/12/31 00:00,2022/12/31 00:00
1029,1005,1,1031,1,1,2022/12/31 00:00,2022/12/31 00:00
1030,1005,2,1032,2,1,2022/12/31 00:00,2022/12/31 00:00
1031,1005,3,1033,3,1,2022/12/31 00:00,2022/12/31 00:00
1032,1005,4,1034,4,1,2022/12/31 00:00,2022/12/31 00:00
1033,1005,5,1035,5,1,2022/12/31 00:00,2022/12/31 00:00
1034,1005,6,1036,6,1,2022/12/31 00:00,2022/12/31 00:00
1035,1005,7,1025,7,1,2022/12/31 00:00,2022/12/31 00:00
1036,1005,8,1026,8,1,2022/12/31 00:00,2022/12/31 00:00
1037,1005,9,1027,9,1,2022/12/31 00:00,2022/12/31 00:00
1038,1005,10,1028,10,1,2022/12/31 00:00,2022/12/31 00:00
1039,1005,11,1029,11,1,2022/12/31 00:00,2022/12/31 00:00
1040,1005,12,1030,12,1,2022/12/31 00:00,2022/12/31 00:00
1041,1006,1,0,1,1,2022/12/31 00:00,2022/12/31 00:00
1042,1006,2,0,2,1,2022/12/31 00:00,2022/12/31 00:00
1043,1007,1,1022,1,1,2023/3/8 07:10,2023/3/8 07:10
1044,1007,2,1023,2,1,2023/3/8 07:10,2023/3/8 07:10
1045,1007,3,1024,3,1,2023/3/8 07:10,2023/3/8 07:10
1046,1003,,1057,1,1,2022/12/31 00:00,2022/12/31 00:00
1047,1003,,1059,2,1,2022/12/31 00:00,2022/12/31 00:00
1048,1008,1,,1,1,2023/3/8 06:47,2023/3/8 06:47
1049,1008,2,,2,1,2023/3/8 06:47,2023/3/8 06:47
1050,1008,3,,3,1,2023/3/8 06:47,2023/3/8 06:47
1051,1008,0,,0,1,2023/3/8 06:47,2023/3/8 06:47
1052,1008,0,,0,1,2023/3/8 06:47,2023/3/8 06:47
1053,1008,0,,0,1,2023/3/8 06:47,2023/3/8 06:47
1054,1008,0,,0,1,2023/3/8 06:47,2023/3/8 06:47
1055,1008,0,,0,1,2023/3/8 06:47,2023/3/8 06:47
1056,1008,0,,0,1,2023/3/8 06:47,2023/3/8 06:47
1057,1009,1,,1,1,2023/3/8 07:16,2023/3/8 07:16
1058,1009,2,,2,1,2023/3/8 07:16,2023/3/8 07:16
1059,1009,3,,3,1,2023/3/8 07:16,2023/3/8 07:16
1060,1009,4,,4,1,2023/3/8 07:16,2023/3/8 07:16
1061,1009,5,,5,1,2023/3/8 07:16,2023/3/8 07:16
1062,1009,6,,6,1,2023/3/8 07:16,2023/3/8 07:16
1063,1009,7,,7,1,2023/3/8 07:16,2023/3/8 07:16
1064,1009,8,,8,1,2023/3/8 07:16,2023/3/8 07:16
1065,1010,1,,1,1,2023/3/8 07:24,2023/3/8 07:24
1066,1010,2,,2,1,2023/3/8 07:24,2023/3/8 07:24
